,Timestamp,Tweet,User ID,Retweets,Replies,Likes,Quotes
29,2023-04-06 00:05:38+00:00,"RT @wizard_008: My first ever op-ed is fresh off the press!ðŸŒŠ
On the student-led national day of action against fossil banks on university câ€¦",1.64377E+18,32,0,0,0
30,2023-04-06 00:00:37+00:00,"RT @brohannon6: I've been following bank AGMs for 7 years

@RBC's response today is by far and away the most unprofessional, disproportionaâ€¦",1.64377E+18,183,0,0,0
31,2023-04-05 23:21:55+00:00,"RT @R_BrooksStand: The closing media conference at the @RBC AGM held by Indigenous and Gulf coast leaders is so powerful.

We will not be sâ€¦",1.64376E+18,30,0,0,0
32,2023-04-05 20:33:19+00:00,RT @Indigenous_ca: Today we gathered together outside RBCâ€™s Annual General Meeting to call them out for financing violence against Indigenoâ€¦,1.64371E+18,138,0,0,0
33,2023-04-05 20:30:12+00:00,RT @standearth: RBC is literally enforcing colonial violence. Indigenous and Black land defenders were prevented from attending the @RBC AGâ€¦,1.64371E+18,110,0,0,0
34,2023-04-05 20:15:15+00:00,RT @MayaLillianM: â€œI was denied entry simply on the merits of being a black woman. Before I came from Louisiana everything was prepared forâ€¦,1.64371E+18,107,0,0,0
35,2023-04-05 20:15:03+00:00,RT @MayaLillianM: â€œFor the second year in a row @RBC refused to meet with Wetâ€™suwetâ€™en hereditary chiefs. After we followed their rules andâ€¦,1.64371E+18,234,0,0,0
36,2023-04-05 20:12:12+00:00,"RT @decolonialsol: ðŸ§µof ðŸ”¥ statements from badass Land and Water Defenders confronting @RBC at their annual general meeting today.

$RY #RBCRâ€¦",1.64371E+18,36,0,0,0
37,2023-04-05 20:11:01+00:00,"RT @MayaLillianM: â€œWe were registered as proxies, we had every right to be there. This is another form of racism. Separating us into anotheâ€¦",1.64371E+18,166,0,0,0
38,2023-04-05 20:07:59+00:00,"RT @Indigenous_ca: Press conference happening now with RBC AGM Indigenous Delegation following this morningâ€™s action in Saskatoon.

https:/â€¦",1.64371E+18,20,0,0,0
39,2023-04-05 19:54:54+00:00,RT @R_BrooksStand: Post @RBC AGM media conference filled with cameras as @Mzozane @UBCIC @Gidimten  speak about their experiences at the baâ€¦,1.6437E+18,71,0,0,0
40,2023-04-05 19:52:09+00:00,Video of Hereditary Chief Na'mocks sticking it to Dave McKayðŸ‘Š https://t.co/g877YQheZK https://t.co/IsWEBO94QM,1.6437E+18,21,0,36,1
